timestamp,strategy,random_state,wins_draws_losses,avg_profit_pct,median_profit_pct,total_profit_usdt,avg_duration,objective,avg_profit_per_day
2025-09-16T17:09:24.307586,EMAMACDStrategy,8701,1/0/2,-1.98,-1.65,-24.12032259,13:20:00,0.05658,-3.564
2025-09-16T17:12:51.692466,EMAMACDStrategy,8209,13/0/59,-0.45,-0.78,-191.64012303,10:40:00,0.35295,-1.0125
2025-09-16T17:33:45.888532,EMACrossOverStrategy,1113,57/0/124,-0.81,-5.0,-228.01870053,"4 days, 23:12:00",0.35353,-0.1631
2025-09-16T17:47:59.900173,EMACrossOverStrategy,3661,52/0/271,0.15,-2.09,71.81246845,"2 days, 9:49:00",-0.15947,0.0623
2025-09-16T20:39:12.427572,IchimokuKinjunStrategy,962,25/0/38,0.96,-1.1,523.18410394,19:57:00,-0.3589,1.1549
2025-09-16T21:16:04.758937,IchimokuKinjunStrategy,6146,47/0/73,0.87,-1.12,949.38691338,19:22:00,-0.55806,1.0781
2025-09-16T21:24:47.065141,EMAMACDStrategy,2078,14/0/58,-0.48,-0.74,-187.78347927,8:51:00,0.46713,-1.3017
2025-09-16T21:28:36.687829,EMAMACDStrategy,116,9/0/40,-0.48,-0.67,-134.46770828,8:38:00,0.34606,-1.3344
2025-09-17T09:54:54.863093,IchimokuRebondStrategy,5449,215/0/749,0.32,-0.62,327.33785415,9:23:00,-1.10882,0.8185
2025-09-17T11:07:33.132786,IchimokuRebondStrategy,3782,151/0/496,0.42,-0.61,329.27882353,9:11:00,-1.00994,1.0976
2025-09-17T11:35:46.916804,IchimokuRebondStrategy,7425,142/0/464,0.46,-0.61,286.13109263,9:07:00,-0.95221,1.211
2025-09-17T12:35:57.496228,IchimokuRebondStrategy,2649,221/0/765,0.3,-0.63,259.77997233,9:23:00,-1.05492,0.7673
2025-09-17T17:23:02.584802,IchimokuRebondStrategy,2419,28/0/52,1.39,-3.39,164.94881932,"2 days, 18:37:00",-0.11146,0.5008
2025-09-17T17:33:33.563059,IchimokuRebondStrategy,5330,18/0/16,1.63,2.03,314.53183769,19:39:00,-0.22162,1.9908
2025-09-17T17:48:14.471210,IchimokuRebondStrategy,6486,22/0/31,0.52,-0.6,223.70129446,6:55:00,-0.24158,1.8043
2025-09-17T18:00:12.219404,IchimokuRebondStrategy,2723,24/0/33,0.75,-1.08,243.96297846,11:54:00,-0.19443,1.5126
2025-09-17T18:07:25.045194,IchimokuRebondStrategy,3365,14/0/34,0.85,-1.33,326.34503981,11:32:00,-0.16935,1.7688
