indicator,correlation_with_loss
ichimoku-chiku-free,0.052494432266739936
proximity,0.05152890993518202
close_sup_sma200,0.04911711613717184
kinjun_flat,0.042387008024824945
ichimoku-tenkan_sup_kinjun,0.03744415725031356
rsi,0.021721253263766675
adx,-0.018869606471381098
tenkan_kinjun_increasing,-0.02550594534056858
tenkan_proximity,-0.046698396359732074
kinjun_proximity,-0.048024217099384245
atr_strength,-0.053530226630026344
volume_sup_avg,-0.0868352007344965
