pair,stake_amount,max_stake_amount,amount,open_date,close_date,open_rate,close_rate,fee_open,fee_close,trade_duration,profit_ratio,profit_abs,exit_reason,initial_stop_loss_abs,initial_stop_loss_ratio,stop_loss_abs,stop_loss_ratio,min_rate,max_rate,is_open,enter_tag,leverage,is_short,open_timestamp,close_timestamp,orders,funding_fees
ETH/USDT,436.18338,436.18338,0.171,2025-05-12 10:00:00+00:00,2025-05-12 18:05:00+00:00,2550.78,2461.62523927776,0.001,0.001,485,-0.03688012798910147,-16.10258538,stop_loss,2423.241,-0.05,2461.62523927776,-0.034951960075835675,2451.71,2576.29,False,hammer_rebond,1.0,False,1747044000000,1747073100000,"[{'amount': 0.171, 'safe_price': 2550.78, 'ft_order_side': 'buy', 'order_filled_timestamp': 1747044000000, 'ft_is_entry': True, 'ft_order_tag': 'hammer_rebond', 'cost': 436.61956338}, {'amount': 0.171, 'safe_price': 2461.62523927776, 'ft_order_side': 'sell', 'order_filled_timestamp': 1747073100000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 421.35885383241344}]",0.0
LTC/USDT,436.24512,436.24512,4.287,2025-05-12 18:00:00+00:00,2025-05-15 06:35:00+00:00,101.76,97.93100910434688,0.001,0.001,3635,-0.03955048396730632,-17.27095933,stop_loss,96.672,-0.05,97.93100910434688,-0.03762766210350943,97.55,105.97,False,hammer_rebond,1.0,False,1747072800000,1747290900000,"[{'amount': 4.287, 'safe_price': 101.76, 'ft_order_side': 'buy', 'order_filled_timestamp': 1747072800000, 'ft_is_entry': True, 'ft_order_tag': 'hammer_rebond', 'cost': 436.68136511999995}, {'amount': 4.287, 'safe_price': 97.93100910434688, 'ft_order_side': 'sell', 'order_filled_timestamp': 1747290900000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 420.25006626636537}]",0.0
LTC/USDT,278.622,278.622,2.76,2025-05-19 00:00:00+00:00,2025-05-19 04:50:00+00:00,100.95,94.86668269300577,0.001,0.001,290,-0.06213829745420933,-17.33040981,stop_loss,95.9025,-0.05,94.86668269300577,-0.060260696453632856,94.86,101.27,False,hammer_rebond,1.0,False,1747612800000,1747630200000,"[{'amount': 2.76, 'safe_price': 100.95, 'ft_order_side': 'buy', 'order_filled_timestamp': 1747612800000, 'ft_is_entry': True, 'ft_order_tag': 'hammer_rebond', 'cost': 278.900622}, {'amount': 2.76, 'safe_price': 94.86668269300577, 'ft_order_side': 'sell', 'order_filled_timestamp': 1747630200000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 262.0938762769286}]",0.0
LTC/USDT,411.15446,411.15446,4.727,2025-06-17 02:00:00+00:00,2025-06-17 15:00:00+00:00,86.98,84.69956375573754,0.001,0.001,780,-0.02816355646039167,-11.59115142,stop_loss,82.631,-0.05,84.69956375573754,-0.026217937965767546,84.52,87.39,False,hammer_rebond,1.0,False,1750125600000,1750172400000,"[{'amount': 4.727, 'safe_price': 86.98, 'ft_order_side': 'buy', 'order_filled_timestamp': 1750125600000, 'ft_is_entry': True, 'ft_order_tag': 'hammer_rebond', 'cost': 411.56561446}, {'amount': 4.727, 'safe_price': 84.69956375573754, 'ft_order_side': 'sell', 'order_filled_timestamp': 1750172400000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 400.7752127112447}]",0.0
XRP/USDT,411.05664,411.05664,182.4,2025-06-17 02:00:00+00:00,2025-06-17 15:00:00+00:00,2.2536,2.1836,0.001,0.001,780,-0.032997354083616065,-13.57734528,stop_loss,2.141,-0.05,2.1836,-0.031064832339559922,2.183,2.2539,False,hammer_rebond,1.0,False,1750125600000,1750172400000,"[{'amount': 182.4, 'safe_price': 2.2536, 'ft_order_side': 'buy', 'order_filled_timestamp': 1750125600000, 'ft_is_entry': True, 'ft_order_tag': 'hammer_rebond', 'cost': 411.46769664}, {'amount': 182.4, 'safe_price': 2.1836, 'ft_order_side': 'sell', 'order_filled_timestamp': 1750172400000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 398.68692864}]",0.0
ETH/USDT,398.633953,398.633953,0.1753,2025-06-23 15:00:00+00:00,2025-06-23 16:20:00+00:00,2274.01,2212.9444009963327,0.001,0.001,80,-0.028798055561696536,-11.49136261,stop_loss,2160.3095000000003,-0.05,2212.9444009963327,-0.02685370732919712,2211.54,2288.27,False,hammer_rebond,1.0,False,1750690800000,1750695600000,"[{'amount': 0.1753, 'safe_price': 2274.01, 'ft_order_side': 'buy', 'order_filled_timestamp': 1750690800000, 'ft_is_entry': True, 'ft_order_tag': 'hammer_rebond', 'cost': 399.032586953}, {'amount': 0.1753, 'safe_price': 2212.9444009963327, 'ft_order_side': 'sell', 'order_filled_timestamp': 1750695600000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 388.31708264815177}]",0.0
XRP/USDT,352.7982,352.7982,118.5,2025-07-14 12:00:00+00:00,2025-07-15 03:00:00+00:00,2.9772,2.8446,0.001,0.001,900,-0.04644750654424173,-16.4029833,stop_loss,2.8284,-0.05,2.8446,-0.04454323364094803,2.841,3.035,False,hammer_rebond,1.0,False,1752494400000,1752548400000,"[{'amount': 118.5, 'safe_price': 2.9772, 'ft_order_side': 'buy', 'order_filled_timestamp': 1752494400000, 'ft_is_entry': True, 'ft_order_tag': 'hammer_rebond', 'cost': 353.15099819999995}, {'amount': 118.5, 'safe_price': 2.8446, 'ft_order_side': 'sell', 'order_filled_timestamp': 1752548400000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 337.4221850999999}]",0.0
XRP/USDT,382.0284,382.0284,117.0,2025-07-17 17:00:00+00:00,2025-07-17 21:20:00+00:00,3.2652,3.4742,0.001,0.001,260,0.0618824395009621,23.6644902,take_profit_1.5R,3.102,-0.05,3.1337,-0.04029842764423941,3.255,3.4875,False,hammer_rebond,1.0,False,1752771600000,1752787200000,"[{'amount': 117.0, 'safe_price': 3.2652, 'ft_order_side': 'buy', 'order_filled_timestamp': 1752771600000, 'ft_is_entry': True, 'ft_order_tag': 'hammer_rebond', 'cost': 382.4104284}, {'amount': 117.0, 'safe_price': 3.4742, 'ft_order_side': 'sell', 'order_filled_timestamp': 1752787200000, 'ft_is_entry': False, 'ft_order_tag': 'take_profit_1.5R', 'cost': 406.88788139999997}]",0.0
BNB/USDT,396.40448,396.40448,0.472,2025-07-27 23:00:00+00:00,2025-07-29 15:20:00+00:00,839.84,807.3416028156046,0.001,0.001,2420,-0.0406166261728994,-16.11671319,stop_loss,797.848,-0.05,807.3416028156046,-0.038695938731657775,805.98,861.1,False,hammer_rebond,1.0,False,1753657200000,1753802400000,"[{'amount': 0.472, 'safe_price': 839.84, 'ft_order_side': 'buy', 'order_filled_timestamp': 1753657200000, 'ft_is_entry': True, 'ft_order_tag': 'hammer_rebond', 'cost': 396.8008844799999}, {'amount': 0.472, 'safe_price': 807.3416028156046, 'ft_order_side': 'sell', 'order_filled_timestamp': 1753802400000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 381.44630176549424}]",0.0
BNB/USDT,333.51127,333.51127,0.391,2025-08-14 15:00:00+00:00,2025-08-15 16:15:00+00:00,852.97,813.2607858724177,0.001,0.001,1515,-0.04845904404572992,-16.17779896,stop_loss,810.3215,-0.05,813.2607858724177,-0.046554057150406614,812.7,855.47,False,hammer_rebond,1.0,False,1755183600000,1755274500000,"[{'amount': 0.391, 'safe_price': 852.97, 'ft_order_side': 'buy', 'order_filled_timestamp': 1755183600000, 'ft_is_entry': True, 'ft_order_tag': 'hammer_rebond', 'cost': 333.84478127}, {'amount': 0.391, 'safe_price': 813.2607858724177, 'ft_order_side': 'sell', 'order_filled_timestamp': 1755274500000, 'ft_is_entry': False, 'ft_order_tag': 'stop_loss', 'cost': 318.3029522433914}]",0.0
LTC/USDT,130.43448,130.43448,1.149,2025-07-19 23:00:00+00:00,2025-09-10 08:00:00+00:00,113.52,113.15,0.001,0.001,75420,-0.005250827396704775,-0.68557383,force_exit,107.844,-0.05,99.72180104799975,-0.12154861656096061,103.16,134.19,False,hammer_rebond,1.0,False,1752966000000,1757491200000,"[{'amount': 1.149, 'safe_price': 113.52, 'ft_order_side': 'buy', 'order_filled_timestamp': 1752966000000, 'ft_is_entry': True, 'ft_order_tag': 'hammer_rebond', 'cost': 130.56491448}, {'amount': 1.149, 'safe_price': 113.15, 'ft_order_side': 'sell', 'order_filled_timestamp': 1757491200000, 'ft_is_entry': False, 'ft_order_tag': 'force_exit', 'cost': 130.13935935}]",0.0
